fetch_time,metric_type,timestamp,value
2026-02-25 17:44:14,CNTU,1772021654403,21288893
2026-02-25 17:44:14,CNTU,1772021655403,21288893
2026-02-25 17:44:14,CNTU,1772021656403,21288893
2026-02-25 17:44:14,CNTU,1772021657403,21288893
2026-02-25 17:44:14,CNTU,1772021658403,21288893
2026-02-25 17:44:14,CNTU,1772021659403,21288893
2026-02-25 17:44:14,CNTU,1772021660403,21288894
2026-02-25 17:44:14,CNTU,1772021661403,21288894
2026-02-25 17:44:14,CNTU,1772021662403,21288894
2026-02-25 17:44:14,CNTU,1772021663403,21288894
2026-02-25 17:44:14,AUM,1772021654403,310897766616207
2026-02-25 17:44:14,AUM,1772021655403,310897775607958
2026-02-25 17:44:14,AUM,1772021656403,310897784599708
2026-02-25 17:44:14,AUM,1772021657403,310897793591459
2026-02-25 17:44:14,AUM,1772021658403,310897802583210
2026-02-25 17:44:14,AUM,1772021659403,310897811574961
2026-02-25 17:44:14,AUM,1772021660403,310897820566712
2026-02-25 17:44:14,AUM,1772021661403,310897829558463
2026-02-25 17:44:14,AUM,1772021662403,310897838550213
2026-02-25 17:44:14,AUM,1772021663403,310897847541964
2026-02-25 17:44:14,mf_assets,1772021654403,167861958125818
2026-02-25 17:44:14,mf_assets,1772021655403,167861967113522
2026-02-25 17:44:14,mf_assets,1772021656403,167861976101226
2026-02-25 17:44:14,mf_assets,1772021657403,167861985088930
2026-02-25 17:44:14,mf_assets,1772021658403,167861994076634
2026-02-25 17:44:14,mf_assets,1772021659403,167862003064337
2026-02-25 17:44:14,mf_assets,1772021660403,167862012052041
2026-02-25 17:44:14,mf_assets,1772021661403,167862021039745
2026-02-25 17:44:14,mf_assets,1772021662403,167862030027449
2026-02-25 17:44:14,mf_assets,1772021663403,167862039015153
2026-02-25 17:44:14,mf_sip_inflows,1772021654403,8150391319421
2026-02-25 17:44:14,mf_sip_inflows,1772021655403,8150394503181
2026-02-25 17:44:14,mf_sip_inflows,1772021656403,8150397686940
2026-02-25 17:44:14,mf_sip_inflows,1772021657403,8150400870700
2026-02-25 17:44:14,mf_sip_inflows,1772021658403,8150404054460
2026-02-25 17:44:14,mf_sip_inflows,1772021659403,8150407238219
2026-02-25 17:44:14,mf_sip_inflows,1772021660403,8150410421979
2026-02-25 17:44:14,mf_sip_inflows,1772021661403,8150413605739
2026-02-25 17:44:14,mf_sip_inflows,1772021662403,8150416789498
2026-02-25 17:44:14,mf_sip_inflows,1772021663403,8150419973258
2026-02-25 17:44:14,equity_adto,1772021654403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021655403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021656403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021657403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021658403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021659403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021660403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021661403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021662403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021663403,603943621464557
2026-02-25 17:44:14,stocks_adto,1772021654403,541335302683004
2026-02-25 17:44:14,stocks_adto,1772021655403,541335303849252
2026-02-25 17:44:14,stocks_adto,1772021656403,541335305015500
2026-02-25 17:44:14,stocks_adto,1772021657403,541335306181748
2026-02-25 17:44:14,stocks_adto,1772021658403,541335307347997
2026-02-25 17:44:14,stocks_adto,1772021659403,541335308514245
2026-02-25 17:44:14,stocks_adto,1772021660403,541335309680493
2026-02-25 17:44:14,stocks_adto,1772021661403,541335310846741
2026-02-25 17:44:14,stocks_adto,1772021662403,541335312012990
2026-02-25 17:44:14,stocks_adto,1772021663403,541335313179238
2026-02-25 17:44:14,stocks_assets,1772021654403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021655403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021656403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021657403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021658403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021659403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021660403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021661403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021662403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021663403,132780176073274
